iter	Passed	Remaining
406	6651	10247
407	6667	10230
408	6683	10213
409	6699	10196
410	6714	10178
411	6731	10162
412	6746	10144
413	6762	10127
414	6777	10109
415	6792	10090
416	6806	10070
417	6821	10052
418	6835	10033
419	6851	10016
420	6867	9999
421	6882	9981
422	6896	9961
423	6911	9943
424	6926	9925
425	6940	9906
426	6956	9889
427	6971	9870
428	6989	9856
429	7005	9839
430	7022	9824
431	7038	9808
432	7055	9792
433	7071	9776
434	7089	9761
435	7106	9747
436	7123	9731
437	7141	9718
438	7157	9701
439	7175	9686
440	7191	9670
441	7208	9654
442	7223	9637
443	7239	9619
444	7255	9603
445	7273	9588
446	7288	9571
447	7303	9553
448	7319	9536
449	7334	9519
450	7350	9501
451	7365	9484
452	7381	9466
453	7395	9448
454	7411	9431
455	7426	9413
456	7441	9395
457	7457	9378
458	7473	9362
459	7488	9343
460	7503	9326
461	7521	9312
462	7537	9295
463	7554	9280
464	7569	9262
465	7586	9246
466	7602	9229
467	7617	9212
468	7631	9193
469	7647	9177
470	7664	9161
471	7680	9145
472	7697	9129
473	7712	9111
474	7728	9094
475	7743	9077
476	7760	9061
477	7774	9043
478	7790	9026
479	7806	9009
480	7826	8997
481	7841	8980
482	7857	8963
483	7875	8949
484	7891	8933
485	7909	8918
486	7926	8902
487	7941	8885
488	7957	8869
489	7974	8853
490	7990	8837
491	8007	8820
492	8024	8805
493	8039	8788
494	8054	8770
495	8070	8753
496	8085	8736
497	8100	8718
498	8116	8702
499	8133	8686
500	8148	8669
501	8163	8651
502	8178	8633
503	8193	8615
504	8208	8598
505	8223	8581
506	8239	8564
507	8255	8548
508	8273	8533
509	8288	8516
510	8304	8499
511	8318	8481
512	8334	8464
513	8349	8446
514	8365	8430
515	8380	8412
516	8397	8397
517	8413	8380
518	8429	8364
519	8443	8346
520	8458	8328
521	8474	8311
522	8490	8295
523	8505	8278
524	8521	8261
525	8536	8244
526	8553	8229
527	8569	8212
528	8585	8195
529	8602	8180
530	8616	8162
531	8631	8144
532	8646	8126
533	8661	8110
534	8676	8093
535	8693	8077
536	8709	8060
537	8723	8042
538	8738	8025
539	8753	8007
540	8769	7991
541	8783	7973
542	8797	7955
543	8813	7938
544	8829	7921
545	8846	7906
546	8860	7888
547	8875	7871
548	8890	7853
549	8906	7837
550	8922	7821
551	8937	7804
552	8951	7785
553	8966	7769
554	8983	7753
555	8997	7735
556	9011	7717
557	9026	7700
558	9042	7683
559	9057	7666
560	9072	7648
561	9088	7632
562	9103	7616
563	9119	7599
564	9135	7582
565	9149	7565
566	9163	7547
567	9178	7530
568	9193	7513
569	9209	7496
570	9223	7479
571	9239	7462
572	9254	7445
573	9269	7428
574	9286	7412
575	9300	7395
576	9315	7378
577	9330	7360
578	9345	7344
579	9359	7326
580	9374	7309
581	9389	7292
582	9406	7276
583	9421	7259
584	9437	7243
585	9451	7225
586	9466	7208
587	9480	7190
588	9496	7174
589	9512	7158
590	9527	7141
591	9543	7125
592	9558	7108
593	9572	7090
594	9586	7073
595	9600	7055
596	9615	7038
597	9630	7021
598	9646	7005
599	9663	6990
600	9679	6973
601	9693	6956
602	9708	6939
603	9724	6922
604	9741	6907
605	9758	6891
606	9773	6875
607	9788	6858
608	9805	6842
609	9822	6827
610	9837	6810
611	9855	6795
612	9870	6778
613	9884	6761
614	9900	6745
615	9915	6728
616	9934	6714
617	9950	6698
618	9964	6680
619	9978	6663
620	9994	6646
621	10010	6630
622	10027	6615
623	10041	6598
624	10056	6580
625	10070	6563
626	10084	6546
627	10099	6528
628	10113	6512
629	10127	6494
630	10142	6477
631	10158	6461
632	10173	6444
633	10190	6429
634	10207	6413
635	10221	6396
636	10236	6379
637	10251	6363
638	10265	6345
639	10280	6328
640	10296	6312
641	10310	6295
642	10326	6279
643	10341	6262
644	10355	6245
645	10369	6227
646	10386	6212
647	10401	6195
648	10419	6180
649	10435	6164
650	10449	6147
651	10464	6131
652	10482	6116
653	10497	6099
654	10512	6082
655	10529	6067
656	10551	6054
657	10575	6043
658	10597	6030
659	10613	6014
660	10631	5999
661	10649	5984
662	10666	5968
663	10686	5954
664	10703	5939
665	10720	5923
666	10737	5907
667	10755	5892
668	10772	5877
669	10790	5862
670	10845	5867
671	10869	5855
672	10890	5841
673	10910	5827
674	10926	5811
675	10942	5795
676	10958	5778
677	10974	5762
678	10992	5747
679	11008	5730
680	11026	5715
681	11042	5699
682	11057	5682
683	11072	5665
684	11089	5650
685	11105	5633
686	11122	5617
687	11139	5602
688	11159	5587
689	11199	5583
690	11252	5585
691	11286	5578
692	11308	5564
693	11331	5551
694	11347	5535
695	11386	5529
696	11428	5525
697	11448	5511
698	11467	5495
699	11487	5481
700	11504	5464
701	11521	5449
702	11538	5432
703	11554	5416
704	11570	5399
705	11585	5382
706	11602	5366
707	11620	5350
708	11637	5334
709	11655	5319
710	11671	5302
711	11686	5285
712	11701	5268
713	11719	5252
714	11737	5236
715	11758	5222
716	11779	5207
717	11797	5192
718	11816	5176
719	11835	5161
720	11853	5145
721	11873	5131
722	11894	5116
723	11913	5101
724	11933	5086
725	11949	5069
726	11964	5052
727	11980	5035
728	11996	5019
729	12011	5002
730	12036	4989
731	12059	4975
732	12077	4959
733	12097	4944
734	12117	4929
735	12137	4914
736	12157	4899
737	12174	4883
738	12190	4866
739	12207	4849
740	12223	4833
741	12240	4817
742	12255	4799
743	12273	4784
744	12289	4767
745	12305	4750
746	12321	4733
747	12338	4717
748	12353	4700
749	12370	4684
750	12386	4667
751	12403	4651
752	12422	4635
753	12442	4620
754	12459	4604
755	12479	4588
756	12498	4573
757	12516	4557
758	12534	4541
759	12551	4525
760	12569	4509
761	12587	4493
762	12605	4477
763	12622	4460
764	12641	4445
765	12658	4428
766	12675	4412
767	12691	4395
768	12707	4379
769	12726	4363
770	12742	4346
771	12760	4330
772	12778	4314
773	12796	4298
774	12815	4282
775	12831	4266
776	12847	4249
777	12864	4233
778	12880	4216
779	12896	4199
780	12912	4182
781	12929	4166
782	12945	4149
783	12962	4133
784	12978	4116
785	12995	4100
786	13012	4083
787	13029	4067
788	13044	4050
789	13060	4033
790	13077	4017
791	13092	4000
792	13110	3984
793	13128	3968
794	13146	3952
795	13163	3935
796	13179	3919
797	13194	3902
798	13211	3885
799	13228	3869
800	13243	3852
801	13260	3835
802	13275	3819
803	13291	3802
804	13306	3785
805	13326	3769
806	13343	3753
807	13360	3736
808	13377	3720
809	13394	3704
810	13411	3687
811	13446	3676
812	13472	3662
813	13492	3646
814	13511	3630
815	13528	3614
816	13546	3597
817	13563	3581
818	13581	3565
819	13597	3548
820	13613	3531
821	13628	3514
822	13647	3498
823	13662	3482
824	13678	3465
825	13694	3448
826	13710	3431
827	13726	3414
828	13743	3398
829	13759	3381
830	13775	3365
831	13792	3348
832	13808	3331
833	13823	3315
834	13840	3298
835	13856	3281
836	13871	3264
837	13888	3248
838	13905	3231
839	13920	3215
840	13939	3198
841	13957	3182
842	13974	3166
843	13991	3149
844	14006	3132
845	14022	3116
846	14040	3099
847	14056	3083
848	14071	3066
849	14087	3049
850	14105	3033
851	14122	3016
852	14142	3000
853	14163	2985
854	14182	2969
855	14198	2952
856	14217	2936
857	14234	2919
858	14251	2903
859	14270	2887
860	14286	2870
861	14303	2854
862	14319	2837
863	14336	2820
864	14353	2804
865	14369	2787
866	14385	2770
867	14401	2754
868	14418	2737
869	14437	2721
870	14453	2704
871	14469	2688
872	14485	2671
873	14501	2654
874	14518	2638
875	14535	2621
876	14551	2604
877	14568	2588
878	14584	2571
879	14600	2555
880	14618	2538
881	14634	2522
882	14653	2505
883	14669	2489
884	14686	2472
885	14703	2456
886	14718	2439
887	14734	2422
888	14751	2406
889	14766	2389
890	14785	2373
891	14805	2356
892	14823	2340
893	14841	2324
894	14859	2307
895	14876	2291
896	14894	2274
897	14912	2258
898	14929	2241
899	14949	2225
900	14968	2209
901	14987	2193
902	15004	2176
903	15022	2160
904	15039	2143
905	15055	2127
906	15070	2110
907	15088	2093
908	15106	2077
909	15124	2060
910	15141	2044
911	15157	2027
912	15176	2011
913	15193	1994
914	15211	1978
915	15229	1961
916	15250	1945
917	15269	1929
918	15287	1913
919	15305	1896
920	15324	1880
921	15343	1863
922	15362	1847
923	15381	1831
924	15401	1814
925	15421	1798
926	15443	1782
927	15464	1766
928	15483	1749
929	15503	1733
930	15521	1717
931	15540	1700
932	15558	1684
933	15576	1667
934	15595	1651
935	15612	1634
936	15628	1617
937	15646	1601
938	15663	1584
939	15681	1568
940	15697	1551
941	15713	1534
942	15730	1517
943	15746	1501
944	15762	1484
945	15780	1467
946	15796	1451
947	15814	1434
948	15829	1417
949	15845	1401
950	15861	1384
951	15879	1367
952	15895	1351
953	15910	1334
954	15925	1317
955	15941	1300
956	15961	1284
957	15980	1267
958	15997	1251
959	16013	1234
960	16028	1217
961	16043	1200
962	16060	1184
963	16079	1167
964	16096	1150
965	16117	1134
966	16135	1117
967	16153	1101
968	16170	1084
969	16186	1067
970	16202	1051
971	16219	1034
972	16236	1017
973	16253	1001
974	16275	984
975	16293	968
976	16309	951
977	16328	934
978	16347	918
979	16367	901
980	16386	885
981	16405	868
982	16430	852
983	16450	835
984	16470	819
985	16492	802
986	16512	786
987	16529	769
988	16549	753
989	16567	736
990	16587	719
991	16605	703
992	16622	686
993	16640	669
994	16658	652
995	16686	636
996	16704	619
997	16721	603
998	16738	586
999	16759	569
1000	16777	553
1001	16796	536
1002	16814	519
1003	16832	502
1004	16851	486
1005	16869	469
1006	16887	452
1007	16904	436
1008	16923	419
1009	16942	402
1010	16961	385
1011	16980	369
1012	16998	352
1013	17017	335
1014	17034	318
1015	17051	302
1016	17071	285
1017	17089	268
1018	17107	251
