iter	Logloss
0	0.6929873149
1	0.6928379074
2	0.6926829064
3	0.6925151702
4	0.6923633001
5	0.6922130083
6	0.6920614265
7	0.6918965754
8	0.6917440498
9	0.691578694
10	0.6914276984
11	0.6912629312
12	0.6911040348
13	0.6909469174
14	0.6907828835
15	0.6906376052
16	0.6904709147
17	0.690315432
18	0.6901648118
19	0.690012946
20	0.6898622088
21	0.6897141652
22	0.6895658748
23	0.6894136997
24	0.6892622266
25	0.6891116803
26	0.688958176
27	0.6888078936
28	0.6886513124
29	0.6884905348
30	0.688342129
31	0.6881854174
32	0.6880256119
33	0.6878770578
34	0.6877266237
35	0.6875629684
36	0.687398838
37	0.6872500671
38	0.687096833
39	0.6869415885
40	0.6867787209
41	0.6866295501
42	0.6864828435
43	0.686327504
44	0.6861683661
45	0.6860036831
46	0.6858548684
47	0.6857094097
48	0.6855606682
49	0.6854147212
50	0.6852678115
51	0.6851168966
52	0.6849682977
53	0.6848055821
54	0.6846540559
55	0.6845058286
56	0.6843583683
57	0.684213352
58	0.6840584496
59	0.6839189348
60	0.6837592315
61	0.6836141673
62	0.6834683816
63	0.683321355
64	0.6831730872
65	0.6830071213
66	0.6828587586
67	0.6827082038
68	0.6825579251
69	0.6824162374
70	0.68225528
71	0.6821068677
72	0.6819550116
73	0.6817940971
74	0.6816414685
75	0.6814944816
76	0.6813315199
77	0.6811641406
78	0.6810067223
79	0.680847013
80	0.6806945726
81	0.680548215
82	0.6804048609
83	0.6802603652
84	0.6801159921
85	0.6799616642
86	0.6798161709
87	0.6796683535
88	0.6795213785
89	0.6793671482
90	0.6792203604
91	0.6790726805
92	0.6789212703
93	0.6787638595
94	0.6786193267
95	0.6784678142
96	0.6783199659
97	0.6781594182
98	0.6780129844
99	0.6778653
100	0.6777145773
101	0.677565858
102	0.6774166426
103	0.6772711416
104	0.6771282853
105	0.6769691705
106	0.6768109241
107	0.676660311
108	0.6765160862
109	0.6763580128
110	0.6762121652
111	0.676067998
112	0.6759237174
113	0.6757672614
114	0.6756251476
115	0.6754677101
116	0.6753263152
117	0.6751812048
118	0.6750291994
119	0.6748729519
120	0.674730337
121	0.6745844989
122	0.6744397303
123	0.6742986936
124	0.6741505084
125	0.6740043367
126	0.673858827
127	0.6737155991
128	0.6735696059
129	0.6734265173
130	0.6732867111
131	0.6731331037
132	0.6729909037
133	0.6728435252
134	0.6727005779
135	0.6725500579
136	0.6724063695
137	0.6722571782
138	0.6721097771
139	0.6719676132
140	0.6718254071
141	0.6716835824
142	0.6715288762
143	0.6713961856
144	0.6712483563
145	0.6711073632
146	0.6709600973
147	0.6708053779
148	0.6706494152
149	0.6705088773
150	0.6703518015
151	0.6702105049
152	0.6700615894
153	0.6699188043
154	0.6697746453
155	0.6696327559
156	0.6694808156
157	0.6693376338
158	0.6691932186
159	0.6690522423
160	0.6689087245
161	0.6687521701
162	0.6686132186
163	0.6684725707
164	0.6683219588
165	0.6681927147
166	0.6680554669
167	0.6679146888
168	0.6677620775
169	0.6676252629
170	0.6674787583
171	0.6673402128
172	0.6671985315
173	0.6670602413
174	0.6669190382
175	0.6667719182
176	0.6666316765
177	0.666492482
178	0.6663508408
179	0.6662088032
180	0.6660704762
181	0.6659344544
182	0.6657960195
183	0.6656434453
184	0.6655032485
185	0.6653470783
186	0.6652089771
187	0.6650737865
188	0.6649191323
189	0.664773805
190	0.6646219136
191	0.6644829074
192	0.6643314873
193	0.6641941042
194	0.6640557192
195	0.6639020241
196	0.663762546
197	0.6636238528
198	0.6634851491
199	0.663340126
200	0.6632002309
201	0.6630565313
202	0.6629114311
203	0.6627746882
204	0.6626246389
205	0.6624889889
206	0.6623429058
207	0.6622048458
208	0.6620556359
209	0.6619057086
210	0.6617630342
211	0.6616287339
212	0.6614741083
213	0.6613265341
214	0.6611843335
215	0.6610306501
216	0.6608863748
217	0.6607513766
218	0.6606008661
219	0.6604572497
220	0.6603227791
221	0.6601852011
222	0.6600470281
223	0.6598969707
224	0.6597568366
225	0.6596203897
226	0.6594725354
227	0.6593328507
228	0.6591968532
229	0.6590601302
230	0.6589125506
231	0.6587618381
232	0.6586269752
233	0.6584910474
234	0.6583485286
235	0.6582008185
236	0.6580687256
237	0.6579330989
238	0.6577904376
239	0.6576404648
240	0.6575129593
241	0.6573766144
242	0.6572368609
243	0.65710129
244	0.6569650939
245	0.6568299952
246	0.6566941053
247	0.6565544312
248	0.6564194737
249	0.6562824915
250	0.6561503764
251	0.6560185425
252	0.6558839823
253	0.6557504163
254	0.6556152548
255	0.6554839964
256	0.6553514271
257	0.6552169817
258	0.6550780875
259	0.654947312
260	0.6548008112
261	0.6546627197
262	0.6545283475
263	0.6543829836
264	0.6542480761
265	0.6541137915
266	0.6539681342
267	0.6538369582
268	0.6536914905
269	0.6535572563
270	0.6534070928
271	0.6532698535
272	0.6531215038
273	0.652976207
274	0.6528385568
275	0.6527031885
276	0.6525754422
277	0.6524448725
278	0.6523070886
279	0.6521765977
280	0.652042349
281	0.6518998209
282	0.6517546313
283	0.6516169309
284	0.6514835742
285	0.6513506712
286	0.6512078746
287	0.6510647034
288	0.650933039
289	0.6508007896
290	0.650676077
291	0.650565569
292	0.6504341879
293	0.6503019721
294	0.6501717371
295	0.6500469353
296	0.6499137531
297	0.6497807245
298	0.6496438459
299	0.6495104007
300	0.6493670521
301	0.6492296474
302	0.6490859177
303	0.6489551525
304	0.6488127041
305	0.6486734766
306	0.6485443467
307	0.6484146229
308	0.6482848837
309	0.6481490065
310	0.6480146187
311	0.6478776181
312	0.6477460603
313	0.6476193748
314	0.647488124
315	0.6473592247
316	0.6472270641
317	0.6470957607
318	0.6469564769
319	0.6468206873
320	0.6466795832
321	0.6465401751
322	0.6464185449
323	0.6463101015
324	0.6461820045
325	0.6460515489
326	0.6459448284
327	0.6458165021
328	0.6456796689
329	0.6455373836
330	0.6453964249
331	0.6452667095
332	0.6451375625
333	0.6450315427
334	0.6449012899
335	0.6447738861
336	0.6446445909
337	0.6445127021
338	0.644370361
339	0.6442634689
340	0.6441222921
341	0.6439940045
342	0.6438649604
343	0.6437216202
344	0.6435928714
345	0.6434632988
346	0.6433356513
347	0.6431960039
348	0.6430559859
349	0.6429288214
350	0.6427899992
351	0.642659056
352	0.6425202232
353	0.6423872113
354	0.6422626305
355	0.6421345485
356	0.6420100041
357	0.6418795043
358	0.6417538831
359	0.6416223769
360	0.6414838604
361	0.6413580183
362	0.6412275797
363	0.6410979081
364	0.6409712957
365	0.6408438376
366	0.640701916
367	0.6405671391
368	0.6404387819
369	0.6403013311
370	0.6401761987
371	0.6400377675
372	0.6399110369
373	0.6397898751
374	0.6396650891
375	0.6395330612
376	0.639409228
377	0.6392814581
378	0.6391452853
379	0.6390064313
380	0.6388690618
381	0.6387414682
382	0.6386128972
383	0.6384726681
384	0.6383437907
385	0.6382188013
386	0.6380909567
387	0.6379694073
