iter	Logloss
388	0.6378464658
389	0.6377164162
390	0.6375764236
391	0.637451151
392	0.6373223302
393	0.6371850901
394	0.6370610215
395	0.6369349566
396	0.636808905
397	0.6366835707
398	0.6365593354
399	0.6364338152
400	0.6363047074
401	0.6361738121
402	0.6360501468
403	0.635924679
404	0.6358021432
405	0.6356726183
406	0.635547853
407	0.6354169629
408	0.6352911182
409	0.6351598419
410	0.6350355909
411	0.6349111604
412	0.6347867826
413	0.6346645321
414	0.6345303647
415	0.6344025319
416	0.6342758819
417	0.6341462615
418	0.6340176358
419	0.6338929811
420	0.6337802495
421	0.6336420926
422	0.6335175366
423	0.6334171826
424	0.6332963439
425	0.6331722854
426	0.6330448046
427	0.6329241374
428	0.6328044537
429	0.6326700578
430	0.6325424644
431	0.632418498
432	0.6322892056
433	0.6321619118
434	0.6320281327
435	0.6319303494
436	0.6317971665
437	0.6316599709
438	0.63152533
439	0.6313912633
440	0.6312626167
441	0.6311269912
442	0.6310309129
443	0.6309032836
444	0.6307697251
445	0.6306470031
446	0.6305325335
447	0.6304068052
448	0.6302675304
449	0.6301455116
450	0.6300139292
451	0.6298910394
452	0.6297717609
453	0.629639494
454	0.6295197346
455	0.6294146381
456	0.6293140808
457	0.6292169248
458	0.6290956196
459	0.6289713335
460	0.6288395292
461	0.6287157281
462	0.6285949043
463	0.6284672232
464	0.6283462322
465	0.6282183969
466	0.6280905609
467	0.6279687415
468	0.6278482655
469	0.6277270697
470	0.6275992278
471	0.6274780532
472	0.6273580577
473	0.6272265055
474	0.6271115983
475	0.626991018
476	0.6268657076
477	0.6267444917
478	0.6266202999
479	0.626500438
480	0.6263755635
481	0.6262716553
482	0.626151042
483	0.6260275638
484	0.6259093998
485	0.6257889983
486	0.6256562216
487	0.6255403497
488	0.6254159232
489	0.6252930105
490	0.6251735429
491	0.625042912
492	0.6249240537
493	0.6248043718
494	0.624685098
495	0.6245681147
496	0.6244397208
497	0.6243132377
498	0.6241814701
499	0.6240628988
500	0.6239463557
501	0.623826804
502	0.6237082479
503	0.6235823887
504	0.6234658548
505	0.6233522291
506	0.623222975
507	0.6231040867
508	0.6229845588
509	0.622866181
510	0.6227484502
511	0.6226275754
512	0.6224975908
513	0.6223785435
514	0.6222608273
515	0.6221302852
516	0.6220140383
517	0.6218920564
